File,[TEXT] Dangling Parens,[TEXT] Line too long,[TEXT] Using car cdr,[TEXT] Cond without square brackets,[TEXT] Uninformative local names,[DEFNS] let-expr not at topmost start,[DEFNS] Nesting let-exprs or defines,[DEFNS] Unnecessary let* or letrec exprs,[DEFNS] Unused or useless local vars,[DEFNS] Not defining helpers or local vars,[COND] Nested if-expr instead of cond,[COND] (if COND #t #f),[TRAV] iteration instead of recursion
prog_0.rkt,0,0,0,0,0,0,0,0,0,-0.5,0,0,0
prog_1.rkt,0,0,0,-0.5,-0.5,0,0,0,0,0,0,0,0
prog_2.rkt,-0.5,0,-0.5,0,0,0,0,0,0,0,0,0,0
prog_3.rkt,0,0,-0.5,0,0,-1,0,0,0,0,-2,0,0
prog_4.rkt,0,0,0,0,0,0,0,-1,-1,0,0,0,0
prog_5.rkt,0,0,0,0,0,0,0,0,0,0,0,0,0
prog_6.rkt,0,0,0,0,0,0,0,0,0,0,0,0,0
prog_7.rkt,0,0,0,0,0,0,0,0,0,-1,0,0,0
prog_8.rkt,0,0,0,0,0,0,0,0,0,0,0,0,0
prog_9.rkt,0,0,0,0,0,0,0,0,0,0,0,0,0
prog_10.rkt,0,0,0,-0.5,0,0,0,0,0,0,0,0,0
prog_11.rkt,0,0,-0.5,0,0,0,0,0,0,0,-2,0,0
prog_12.rkt,0,-1,0,0,0,0,0,0,0,0,0,0,0
prog_13.rkt,0,0,0,0,0,0,0,0,0,0,0,0,0
prog_14.rkt,0,0,0,0,0,0,0,0,0,0,0,0,0
prog_15.rkt,0,0,0,0,-0.5,0,0,0,0,0,0,0,0
prog_16.rkt,0,0,-0.5,-0.5,0,0,0,0,0,0,0,0,0
prog_17.rkt,0,0,-0.5,0,0,0,0,0,0,0,0,0,0
prog_18.rkt,0,0,0,-0.5,0,0,0,0,0,0,0,0,0
prog_19.rkt,0,0,0,0,0,0,0,0,0,0,0,0,0
prog_20.rkt,0,0,0,0,0,0,0,0,0,0,0,0,-3
prog_21.rkt,0,0,0,0,0,0,0,0,0,0,0,0,0
prog_22.rkt,0,0,0,0,0,0,0,0,0,-1,0,0,0
prog_23.rkt,-0.5,-1,0,0,0,0,0,0,0,-1,0,-1,0
prog_24.rkt,0,0,0,0,0,0,0,0,0,0,0,0,0
prog_25.rkt,0,0,0,0,0,-1,0,0,-1,0,-2,0,-3
prog_26.rkt,0,0,-0.5,0,0,0,0,0,0,0,0,0,0
prog_27.rkt,-0.5,0,0,0,0,0,0,0,0,-1,0,-0.5,0
