890,completions,1,0.08664596273291926,161,20,20
1780,completions,1,0.08757763975155278,161,20,20
2670,completions,1,0.09006211180124224,161,20,20
3560,completions,1,0.09875776397515529,161,20,20
4450,completions,1,0.09596273291925468,161,20,20
5340,completions,1,0.10248447204968944,161,20,20
6230,completions,1,0.11366459627329191,161,20,20
7120,completions,1,0.11149068322981366,161,20,20
8010,completions,1,0.11055900621118013,161,20,20
8900,completions,1,0.11987577639751554,161,20,20
9790,completions,1,0.11987577639751554,161,20,20
10680,completions,1,0.12049689440993788,161,20,20
11570,completions,1,0.12360248447204968,161,20,20
12460,completions,1,0.13291925465838508,161,20,20
13350,completions,1,0.11180124223602485,161,20,20
14240,completions,1,0.11645962732919254,161,20,20
