Dataset,Pass@k,Estimate,NumProblems,MinCompletions,MaxCompletions
eval_jl_checkpoint-383,1,0.23364779874213837,159,20,20
eval_lua_checkpoint-383,1,0.10993788819875779,161,20,20
eval_ml_checkpoint-383,1,0.11290322580645161,155,20,20
eval_py_checkpoint-383,1,0.14006211180124223,161,20,20
eval_r_checkpoint-383,1,0.12546583850931678,161,20,20
eval_rkt_checkpoint-383,1,0.06459627329192545,161,20,20
eval_jl_checkpoint-1149,1,0.2531446540880503,159,20,20
eval_lua_checkpoint-1149,1,0.29720496894409937,161,20,20
eval_ml_checkpoint-1149,1,0.13580645161290322,155,20,20
eval_py_checkpoint-1149,1,0.26242236024844723,161,20,20
eval_r_checkpoint-1149,1,0.12950310559006212,161,20,20
eval_rkt_checkpoint-1149,1,0.11149068322981369,161,20,20
eval_jl_checkpoint-1532,1,0.2610062893081761,159,20,20
eval_lua_checkpoint-1532,1,0.29720496894409937,161,20,20
eval_ml_checkpoint-1532,1,0.14193548387096774,155,20,20
eval_py_checkpoint-1532,1,0.26521739130434785,161,20,20
eval_r_checkpoint-1532,1,0.13043478260869565,161,20,20
eval_rkt_checkpoint-1532,1,0.12826086956521737,161,20,20
eval_jl_checkpoint-1915,1,0.26257861635220126,159,20,20
eval_lua_checkpoint-1915,1,0.3006211180124223,161,20,20
eval_ml_checkpoint-1915,1,0.13838709677419356,155,20,20
eval_py_checkpoint-1915,1,0.2562111801242236,161,20,20
eval_r_checkpoint-1915,1,0.12732919254658384,161,20,20
eval_rkt_checkpoint-1915,1,0.1347826086956522,161,20,20
eval_jl_checkpoint-2298,1,0.2578616352201258,159,20,20
eval_lua_checkpoint-2298,1,0.29627329192546586,161,20,20
eval_ml_checkpoint-2298,1,0.1435483870967742,155,20,20
eval_py_checkpoint-2298,1,0.2506211180124224,161,20,20
eval_r_checkpoint-2298,1,0.13354037267080746,161,20,20
eval_rkt_checkpoint-2298,1,0.1322981366459627,161,20,20
