Dataset,Pass@k,Estimate,NumProblems,MinCompletions,MaxCompletions
eval_rkt_checkpoint-285,1,0.16459627329192547,161,20,20
eval_rkt_checkpoint-570,1,0.18664596273291922,161,20,20
eval_rkt_checkpoint-1140,1,0.19254658385093168,161,20,20
eval_rkt_checkpoint-1425,1,0.18105590062111804,161,20,20
eval_rkt_checkpoint-1710,1,0.19503105590062111,161,20,20
eval_rkt_checkpoint-1995,1,0.1940993788819876,161,20,20
eval_rkt_checkpoint-2280,1,0.19192546583850933,161,20,20
eval_rkt_checkpoint-2565,1,0.19223602484472052,161,20,20
eval_rkt_checkpoint-2850,1,0.20310559006211176,161,20,20
