Dataset,Pass@k,Estimate,NumProblems,MinCompletions,MaxCompletions
eval_checkpoint-94,1,0.16282051282051282,156,20,20
eval_checkpoint-188,1,0.15833333333333335,156,20,20
eval_checkpoint-282,1,0.16346153846153846,156,20,20
eval_checkpoint-376,1,0.18012820512820513,156,20,20
eval_checkpoint-470,1,0.1987179487179487,156,20,20
eval_checkpoint-564,1,0.1875,156,20,20
eval_checkpoint-658,1,0.20512820512820512,156,20,20
eval_checkpoint-752,1,0.16858974358974357,156,20,20
eval_checkpoint-846,1,0.20384615384615384,156,20,20
