File,Example A,Example B
prog_0.rkt,0,1
prog_1.rkt,0,1
prog_2.rkt,1,0
prog_3.rkt,0,1
prog_4.rkt,0,1
prog_5.rkt,1,0
prog_6.rkt,0,0
prog_7.rkt,1,0
prog_8.rkt,1,0
prog_9.rkt,0,1
prog_10.rkt,1,0
prog_11.rkt,0,0
prog_12.rkt,0,1
prog_13.rkt,0,0
prog_14.rkt,0,0
prog_15.rkt,0,1
prog_16.rkt,1,0
prog_17.rkt,1,0
prog_18.rkt,1,0
prog_19.rkt,1,0
prog_20.rkt,0,0
prog_21.rkt,1,0
prog_22.rkt,0,1
prog_23.rkt,0,1
prog_24.rkt,0,1
prog_25.rkt,1,0
prog_26.rkt,0,1
prog_27.rkt,0,1
prog_28.rkt,0,0
prog_29.rkt,0,1
prog_30.rkt,0,1
prog_31.rkt,1,0
prog_32.rkt,0,0
prog_33.rkt,0,0
prog_34.rkt,0,1
