Dataset,Pass@k,Estimate,NumProblems,MinCompletions,MaxCompletions
eval_ml_checkpoint-260,1,0.17243589743589743,156,20,20
eval_ml_checkpoint-520,1,0.16666666666666666,156,20,20
eval_ml_checkpoint-1040,1,0.1958333333333333,156,20,20
eval_ml_checkpoint-1300,1,0.17916666666666667,156,20,20
eval_ml_checkpoint-1560,1,0.1891025641025641,156,20,20
eval_ml_checkpoint-1820,1,0.20544871794871794,156,20,20
eval_ml_checkpoint-2080,1,0.20064102564102568,156,20,20
eval_ml_checkpoint-2340,1,0.20705128205128204,156,20,20
eval_ml_checkpoint-2600,1,0.19999999999999998,156,20,20

