Dataset,Pass@k,Estimate,NumProblems,MinCompletions,MaxCompletions
eval_checkpoint-73,1,0.1611801242236025,161,20,20
eval_checkpoint-146,1,0.16366459627329194,161,20,20
eval_checkpoint-219,1,0.1717391304347826,161,20,20
eval_checkpoint-292,1,0.17950310559006213,161,20,20
eval_checkpoint-365,1,0.15745341614906833,161,20,20
eval_checkpoint-438,1,0.18509316770186335,161,20,20
eval_checkpoint-511,1,0.20496894409937888,161,20,20
eval_checkpoint-584,1,0.2096273291925466,161,20,20
eval_checkpoint-657,1,0.20869565217391306,161,20,20
